Average_Length_of_Stay_(Years),Admissions_Male,Admissions_Female,Admissions_Total,Releases_Male,Releases_Female,Releases_Total,End_of_Fiscal_Year_Confined_Population_Male,End_of_Fiscal_Year_Confined_Population_Female,End_of_Fiscal_Year_Confined_Population_Total
FY 2009,2.4,1.4,2.2,1.7,1.2,1.6,7.6,4.2,7.3
FY 2010,2.5,1.6,2.4,1.7,1.2,1.7,8,4.5,7.7
FY 2011,2.5,1.5,2.3,1.9,1.3,1.8,8.2,4.7,7.9
FY 2012,2.4,1.5,2.3,2,1.3,1.9,8.5,4.9,8.1
FY 2013,2.3,1.5,2.2,2.1,1.4,2,8.5,4.8,8.2
FY 2014,2.3,1.5,2.2,2,1.3,1.9,8.5,4.8,8.1
FY 2015,2.3,1.6,2.2,2,1.3,1.9,8.6,4.9,8.2
FY2016,2.4,1.4,2.2,2,1.3,1.9,8.7,4.9,8.4
FY2017,2.4,1.5,2.3,2.2,1.4,2.1,9,5,8.6
FY2018,2.4,1.6,2.3,2.3,1.4,2.1,9.1,5.1,8.7
FY2019,2.5,1.6,2.3,2.3,1.4,2.2,9.1,5.1,8.7
FY2020,2.6,1.6,2.5,2.4,1.4,2.2,9.6,5.5,9.2
